date,open,high,low,close,volume
2026-01-22,188.86,189.13,188.14,188.56,1321060
2026-01-23,188.39,189.12,188.02,188.86,502517
2026-01-26,189.47,190.31,189.47,189.91,278575
2026-01-27,190.61,191.46,190.61,191.29,210044
2026-01-28,191.15,191.4,190.285,190.79,163340
2026-01-29,191.49,191.56,188.41,190.8,450605
2026-01-30,190.03,190.42,188.47,189.63,992310
2026-02-02,189.26,190.945,189.26,190.66,776110
2026-02-03,190.74,190.81,187.94,189.44,384697
2026-02-04,190.1,190.31,187.89,188.98,417585
2026-02-05,187.41,188.15,186.13,186.46,612540
2026-02-06,187.85,190.47,187.85,190.24,570318
2026-02-09,190.28,192.095,190.01,191.84,291470
2026-02-10,192.21,192.54,191.48,191.6,310453
2026-02-11,192.77,192.84,190.87,191.83,257287
2026-02-12,192.37,192.53,188.85,189.02,558309
2026-02-13,189.01,190.34,188.24,189.4,333735
2026-02-17,188.53,189.95,187.5,189.46,252884
2026-02-18,189.85,191.17,189.49,190.41,207998
2026-02-19,189.46,190.1,189.13,189.89,172564
2026-02-20,189.33,191.41,189.24,191.19,257851
2026-02-23,190.91,191.43,189.045,189.5,257502
2026-02-24,189.21,190.99,189,190.77,187943
2026-02-25,191.55,192.53,191.535,192.37,539127
2026-02-26,192.44,192.44,190.33,191.68,418301
2026-02-27,190.35,191.18,190.05,190.84,595618
2026-03-02,188.22,190.65,188.02,190.18,531447
2026-03-03,185.38,187.8,183.76,187.21,514761
2026-03-04,187.94,189.17,187.23,188.82,920552
2026-03-05,187.39,188.3,185.35,187.09,931419
2026-03-06,184.49,186.06,183.81,184.98,722319
2026-03-09,182.97,186.91,181.76,186.45,1063576
2026-03-10,186.79,188.345,185.805,186.36,1090425
2026-03-11,186.06,186.8,185.15,186.02,320877
2026-03-12,184.43,184.63,183.13,183.15,484400
2026-03-13,183.78,184.7,181.47,181.75,299654
2026-03-16,183.62,184.68,183.375,184.04,318370
2026-03-17,184.97,185.45,184.38,184.49,162678
2026-03-18,183.77,184.09,181.715,181.77,399731
2026-03-19,179.855,182.16,179.605,181.36,537623
2026-03-20,180.8,180.89,177.01,178,430466
2026-03-23,180.87,182.53,179.89,180.54,505118
2026-03-24,179.01,180.75,178.66,179.85,287292
2026-03-25,181.76,182.22,180.59,181.19,367757
2026-03-26,179.71,180.55,177.89,178.04,1251026
2026-03-27,177.12,177.33,175,175.42,1412861
2026-03-30,177.05,177.07,174.24,174.94,555623
2026-03-31,177.18,180.275,176.65,180.02,2361624
2026-04-01,181.58,182.76,181.23,181.81,1562928
2026-04-02,179.11,182.3,178.6496,181.72,457719
2026-04-06,181.79,182.68,181.705,182.52,226743
2026-04-07,181.74,182.55,180.19,182.47,264128
2026-04-08,188.11,188.54,186.69,187.66,628296
2026-04-09,187.11,188.78,186.7,188.36,618470
2026-04-10,188.96,189.19,188.02,188.38,285227
2026-04-13,187.58,190.09,187.37,189.99,752850
2026-04-14,190.76,192.205,190.74,192,1053622
2026-04-15,192.21,193.43,191.89,193.33,1367249
2026-04-16,193.64,193.75,192.78,193.38,273023
2026-04-17,195.25,196.48,194.87,195.79,276815
2026-04-20,195.21,195.61,194.61,195.51,2060617
2026-04-21,195.52,195.66,192.93,193.28,2488008
2026-04-22,194.67,195,194.34,194.92,771495
2026-04-23,194.5,195.17,192.15,193.82,1536843
2026-04-24,194.46,195.39,193.95,195.27,477903
2026-04-27,195.14,195.56,194.7408,195.45,1863102
2026-04-28,194.59,194.72,193.69,194.43,6058558
2026-04-29,193.93,194.06,193.02,193.87,476925
2026-04-30,195.18,196.77,194.25,196.55,11521887
2026-05-01,196.9,197.88,196.68,196.76,535248
2026-05-04,196.28,196.945,194.92,195.56,687460
2026-05-05,196.74,197.61,196.62,197.03,2142939
2026-05-06,199.28,200.78,199.01,200.63,943344
2026-05-07,200.97,200.97,198.74,199.12,674994
2026-05-08,200.1,200.75,200.08,200.64,413929
2026-05-11,200.36,201.29,200.36,200.88,541830
2026-05-12,200.1,200.69,198.74,200.57,666243
2026-05-13,200.47,201.88,200,201.63,338334
2026-05-14,201.9,203.17,201.9,202.74,677846
2026-05-15,200.6,200.88,199.53,199.92,427457
2026-05-18,200.61,200.86,198.79,200.25,625815
2026-05-19,199.26,200.15,198.41,198.97,879781
2026-05-20,199.43,201.655,199.12,201.49,185761
2026-05-21,199.88,202.52,199.88,202.07,1585853
2026-05-22,202.78,203.335,202.245,202.54,1135844
2026-05-26,204.09,204.3299,203.425,204,446942
2026-05-27,204.11,204.22,203.22,203.91,362960
2026-05-28,203.55,204.91,203.29,204.8,1146865
2026-05-29,205.05,205.645,204.8,204.93,1855211
2026-06-01,204.37,205.8,204.2,205.36,545048
2026-06-02,205.16,206.33,205.16,206.18,963036
2026-06-03,205.68,205.91,204.52,204.65,1305571
2026-06-04,204.37,206,204.37,205.67,114300
2026-06-05,204.26,204.36,199.855,200.38,423434
2026-06-08,201.9,202.575,200.69,201.05,310752
2026-06-09,202.26,203.085,196.71,200.38,911291
2026-06-10,199.42,200.6,197.44,197.44,229155
2026-06-11,198.63,202.04,197.63,201.54,558251
2026-06-12,201.95,202.98,200.75,202.32,397007
2026-06-15,203.62,204.45,203.46,203.63,1172386
2026-06-16,204.1,204.31,202.96,203.1,2003478
2026-06-17,203.55,203.94,200.53,200.99,813251
2026-06-18,203.17,203.26,202.2,202.73,2013871
2026-06-22,202.93,203.8752,201.95,202.37,804595
